Date	SST	SSS	NO3	PO4	Si	Fe	Chl-a	Oxygen	SPCO2
01/01/2022	29.62233353	33.73973846	0.00229462	0.134802386	1.932152152	0.001033378	0.11630515	199.1068268	40.48447037
02/01/2022	29.58937263	33.75041962	0.002211575	0.13340804	1.940075278	0.001016258	0.114376813	199.0978851	40.44309616
03/01/2022	29.50514221	33.75041962	0.001923041	0.132365629	1.952787161	0.001007035	0.112730965	199.1395416	40.32086563
04/01/2022	29.36597824	33.75804901	0.00169794	0.132600799	1.958222151	0.000990111	0.113441706	199.4700623	40.15265656
05/01/2022	29.39454269	33.76415253	0.001782267	0.131418824	1.975416422	0.000979268	0.117347181	199.4897156	40.0110054
06/01/2022	29.41944695	33.73821259	0.001889356	0.129287928	2.010642529	0.000978684	0.116864316	199.4574432	40.18510437
07/01/2022	29.50440979	33.71685028	0.001912582	0.125088423	2.059850693	0.000982218	0.114630438	199.4788361	40.37076187
08/01/2022	29.41505241	33.73058319	0.001991985	0.120630041	2.102892399	0.0009837	0.113911562	199.563446	40.3202095
09/01/2022	29.49488831	33.76110077	0.002737948	0.116924874	2.131263494	0.000987938	0.114727788	199.712265	40.37400055
10/01/2022	29.5849781	33.76110077	0.003152712	0.115419827	2.140166044	0.000994251	0.116004683	199.6738586	40.63037109
11/01/2022	29.55787849	33.7733078	0.002466589	0.117349908	2.131645441	0.00099465	0.11489778	199.6713562	40.73234177
12/01/2022	29.36158371	33.79161835	0.001779161	0.12049032	2.116080523	0.000975296	0.113887928	199.7816467	40.52988052
13/01/2022	29.25098419	33.79314423	0.001701844	0.123943537	2.089635372	0.000956754	0.113739617	199.7516632	40.18750763
14/01/2022	29.28980446	33.79772186	0.001901373	0.124812379	2.069203138	0.000965539	0.113326117	199.4646759	40.07360077
15/01/2022	29.32276344	33.8022995	0.001984404	0.122465543	2.082449675	0.000996755	0.112423979	199.20578	40.11882401
16/01/2022	29.19165611	33.77788544	0.001770709	0.114756078	2.159425735	0.001043572	0.111270212	199.2699127	39.97054672
17/01/2022	29.13525772	33.76110077	0.002226246	0.106251054	2.261664391	0.001097065	0.110723726	199.3471222	39.75092697
18/01/2022	29.19605064	33.75499725	0.002549906	0.098112598	2.388579607	0.001149526	0.112321407	199.5228119	39.71158218
19/01/2022	29.07959175	33.74126434	0.002480997	0.094478562	2.492918968	0.001176859	0.113670476	199.8148499	39.63721848
20/01/2022	28.9243145	33.74126434	0.002202963	0.095261656	2.536891937	0.001173684	0.115892164	200.1344147	39.54829788
21/01/2022	28.8745079	33.75804901	0.002126326	0.098354504	2.530854702	0.001151558	0.117017224	200.2557831	39.47748947
22/01/2022	28.8041935	33.7229538	0.002457242	0.105843529	2.457599878	0.001097264	0.123350158	200.345047	39.44287491
23/01/2022	28.8979454	33.70616913	0.002699335	0.112334169	2.390689373	0.00105848	0.125667006	200.3872375	39.58804321
24/01/2022	29.09204292	33.67259598	0.003894668	0.113411307	2.44762969	0.00106728	0.124677621	200.4718323	40.18161011
25/01/2022	29.38868332	33.68175125	0.005320199	0.112876356	2.544910192	0.001092237	0.126401782	200.6522217	40.77007675
26/01/2022	29.66042137	33.68632889	0.00623516	0.11209707	2.606359482	0.00110497	0.12978594	200.7518311	41.47008896
27/01/2022	29.87136459	33.74736786	0.005247605	0.111320734	2.635941029	0.001111278	0.129962638	200.45578	42.00909805
28/01/2022	29.46558952	33.75652313	0.00344652	0.110668905	2.641693592	0.001118555	0.125196055	200.1770172	41.75344467
29/01/2022	29.24512482	33.7519455	0.002555349	0.110160105	2.632265806	0.001123524	0.118796699	200.201004	41.04325485
30/01/2022	29.19092369	33.76110077	0.002491915	0.111125432	2.579072237	0.001107913	0.11576277	200.1175842	40.53791428
31/01/2022	29.10522842	33.76415253	0.002467732	0.115942962	2.54400897	0.001082963	0.116270654	200.1079712	40.48749924
01/02/2022	29.15942955	33.77635956	0.002575286	0.120636858	2.542234182	0.001064997	0.119258717	200.1095581	40.46030807
